cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,16,19360,6144,cktile,1,0,66.2615,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,57.44,1805.96,0.0
80,32,19360,6144,ck,2,0,92.8359,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,82.0,1296.73,0.0
80,64,19360,6144,ck,2,0,106.2422,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,143.31,1146.62,0.0
80,128,19360,6144,ck,0,0,140.7317,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,216.37,886.02,0.0
80,256,19360,6144,ck,0,0,240.2292,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,253.51,542.95,0.0
80,512,19360,6144,ck,0,0,436.828,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,278.83,324.88,0.0
80,1024,19360,6144,ck,0,0,841.1503,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,289.61,196.03,0.0
80,2048,19360,6144,ck,0,0,1580.5661,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,308.25,133.39,0.0
80,4096,19360,6144,ck,0,0,3041.3458,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,320.39,99.53,0.0
80,8192,19360,6144,ck,0,0,6053.1855,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,321.95,80.37,0.0
80,16384,19360,6144,ck,0,0,12570.9389,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,310.06,67.93,0.0
80,20480,19360,6144,ck,0,0,15765.9479,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,309.03,65.82,0.0
